ID,°×³ãµÆ,Time,AcPower,×Ü
2.02E+11,80776,1690371272,875985,956761
2.02E+11,81303,1690371273,876223,957526
2.02E+11,80595,1690371274,875667,956262
2.02E+11,81614,1690371275,876188,957802
2.02E+11,81442,1690371276,875741,957183
2.02E+11,80704,1690371277,876174,956878
2.02E+11,81392,1690371278,876009,957401
2.02E+11,81318,1690371279,876143,957461
2.02E+11,80857,1690371280,876029,956886
2.02E+11,80952,1690371281,876264,957216
2.02E+11,81068,1690371282,876251,957319
2.02E+11,81078,1690371283,876336,957414
2.02E+11,81284,1690371284,876720,958004
2.02E+11,81029,1690371285,878093,959122
2.02E+11,81051,1690371286,878578,959629
2.02E+11,81099,1690371287,877873,958972
2.02E+11,80878,1690371288,877641,958519
2.02E+11,80829,1690371289,876538,957367
2.02E+11,80747,1690371290,876918,957665
2.02E+11,80700,1690371291,875306,956006
2.02E+11,80954,1690371292,875573,956527
2.02E+11,81058,1690371293,876605,957663
2.02E+11,80651,1690371294,876577,957228
2.02E+11,80458,1690371295,877710,958168
2.02E+11,81112,1690371296,877026,958138
2.02E+11,80682,1690371297,878645,959327
2.02E+11,80716,1690371298,878884,959600
2.02E+11,80744,1690371299,878954,959698
2.02E+11,80601,1690371300,879160,959761
2.02E+11,80512,1690371301,877909,958421
2.02E+11,80411,1690371302,878819,959230
2.02E+11,80629,1690371303,878776,959405
2.02E+11,79864,1690371304,877856,957720
2.02E+11,80875,1690371305,876254,957129
2.02E+11,80732,1690371306,877363,958095
2.02E+11,81096,1690371307,877925,959021
2.02E+11,80806,1690371308,877743,958549
2.02E+11,80742,1690371309,877792,958534
2.02E+11,80794,1690371310,878422,959216
2.02E+11,80914,1690371311,877956,958870
2.02E+11,80944,1690371312,878079,959023
2.02E+11,81087,1690371313,877624,958711
2.02E+11,81145,1690371314,878110,959255
2.02E+11,80844,1690371315,879140,959984
2.02E+11,80988,1690371316,879193,960181
2.02E+11,80601,1690371317,879157,959758
2.02E+11,80847,1690371318,877652,958499
2.02E+11,81069,1690371319,878009,959078
2.02E+11,80612,1690371320,877805,958417
2.02E+11,80614,1690371321,877813,958427
2.02E+11,81021,1690371322,875625,956646
2.02E+11,80910,1690371323,877270,958180
2.02E+11,81098,1690371324,877701,958799
2.02E+11,80999,1690371325,876746,957745
2.02E+11,81007,1690371326,877484,958491
2.02E+11,80725,1690371327,878281,959006
2.02E+11,80524,1690371328,879395,959919
2.02E+11,80941,1690371329,878876,959817
2.02E+11,80401,1690371330,877660,958061
2.02E+11,80955,1690371331,879176,960131
2.02E+11,80695,1690371332,878445,959140
2.02E+11,80718,1690371333,878041,958759
2.02E+11,80676,1690371334,877838,958514
2.02E+11,80681,1690371335,877624,958305
2.02E+11,80633,1690371336,878242,958875
2.02E+11,80545,1690371337,877524,958069
2.02E+11,80254,1690371338,878205,958459
2.02E+11,80624,1690371339,878858,959482
2.02E+11,80617,1690371340,878373,958990
2.02E+11,80402,1690371341,878580,958982
2.02E+11,80407,1690371342,877096,957503
2.02E+11,80949,1690371343,878961,959910
2.02E+11,80696,1690371344,879673,960369
2.02E+11,80915,1690371345,879728,960643
2.02E+11,80872,1690371346,880248,961120
2.02E+11,81080,1690371347,878457,959537
2.02E+11,81090,1690371348,878514,959604
2.02E+11,81157,1690371349,878298,959455
2.02E+11,80645,1690371350,877824,958469
2.02E+11,80822,1690371351,875986,956808
2.02E+11,80906,1690371352,878293,959199
2.02E+11,80923,1690371353,877349,958272
2.02E+11,80770,1690371354,879523,960293
2.02E+11,81042,1690371355,879266,960308
2.02E+11,80875,1690371356,879509,960384
2.02E+11,80765,1690371357,879892,960657
2.02E+11,80810,1690371358,880219,961029
2.02E+11,80732,1690371359,880261,960993
2.02E+11,81088,1690371360,878913,960001
2.02E+11,81066,1690371361,879523,960589
2.02E+11,80645,1690371362,880274,960919
2.02E+11,80989,1690371363,878810,959799
2.02E+11,80459,1690371364,878613,959072
2.02E+11,80719,1690371365,878428,959147
2.02E+11,80519,1690371366,877773,958292
2.02E+11,80711,1690371367,878613,959324
2.02E+11,80893,1690371368,878325,959218
2.02E+11,80662,1690371369,878532,959194
2.02E+11,80796,1690371370,878394,959190
2.02E+11,80924,1690371371,878780,959704
2.02E+11,80703,1690371372,878897,959600
2.02E+11,81039,1690371373,878792,959831
2.02E+11,80649,1690371374,878916,959565
2.02E+11,80954,1690371375,878879,959833
2.02E+11,80406,1690371376,878569,958975
